	window_size	corr	mean_step	median_step	mean_CpGs	median_CpGs	n	cov_nanop	cov_wgbs	cov_nanop-cov_wgbs
207	5000000.0	0.9768103061856253	122594.17677286742	23186.0	1760.0	371.0	4865.0	10	10	10-10
208	100000000.0	0.9768103061856253	122594.17677286742	23186.0	1760.0	371.0	4865.0	10	10	10-10
209	500000000.0	0.9768103061856253	122594.17677286742	23186.0	1760.0	371.0	4865.0	10	10	10-10
210	1.0	0.933822101960319	4.520347605717702	1.0	1.6203243117968016	1.0	8474314.0	1	10	1-10
211	50.0	0.942686882961686	16.702145798425125	11.0	2.0	2.0	5703052.0	1	10	1-10
212	100.0	0.9508633497410924	43.90978177959619	46.0	3.0	3.0	3660336.0	1	10	1-10
213	500.0	0.9705651905919548	319.087874217171	371.0	13.0	11.0	1033591.0	1	10	1-10
214	1000.0	0.977668954935061	701.804479282138	819.0	24.0	20.0	571029.0	1	10	1-10
215	5000.0	0.9871197715501592	4251.952627301429	4718.0	107.0	97.0	127964.0	1	10	1-10
216	10000.0	0.987935496195144	8782.796231037977	9668.0	207.0	196.0	66119.0	1	10	1-10
217	50000.0	0.96029053303235	35972.23349568687	48936.0	805.0	813.0	17041.0	1	10	1-10
218	100000.0	0.9312040480964	55229.76981639051	58839.0	1229.0	1137.0	11165.0	1	10	1-10
219	500000.0	0.8814001143129058	90563.71867232052	14914.0	2007.0	288.0	6839.0	1	10	1-10
220	1000000.0	0.8769867518379871	94992.3135541245	13546.5	2105.0	255.0	6522.0	1	10	1-10
221	5000000.0	0.8764752547665929	95671.40827671402	13366.0	2120.0	251.0	6476.0	1	10	1-10
222	100000000.0	0.8764752547665929	95671.40827671402	13366.0	2120.0	251.0	6476.0	1	10	1-10
223	500000000.0	0.8764752547665929	95671.40827671402	13366.0	2120.0	251.0	6476.0	1	10	1-10
224	1.0	0.9338382887921208	4.504695702870623	1.0	1.618462890077657	1.0	8432071.0	q99	10	q99-10
225	50.0	0.9426849845176232	16.66885580209558	11.0	2.0	2.0	5676518.0	q99	10	q99-10
226	100.0	0.9508485231513764	43.841740386836776	45.0	3.0	3.0	3644638.0	q99	10	q99-10
227	500.0	0.9705167628838868	318.6976837196389	371.0	13.0	11.0	1030143.0	q99	10	q99-10
228	1000.0	0.9776050266331264	700.970618402796	819.0	23.0	20.0	569370.0	q99	10	q99-10
229	5000.0	0.9870006813686616	4245.186278960551	4717.0	106.0	97.0	127760.0	q99	10	q99-10
230	10000.0	0.9877869838602118	8770.585080773366	9667.0	206.0	195.0	66049.0	q99	10	q99-10
231	50000.0	0.959879887195561	35958.74389097744	48934.0	801.0	810.0	17024.0	q99	10	q99-10
232	100000.0	0.9304667282860284	55234.696654408464	59146.0	1224.0	1135.0	11149.0	q99	10	q99-10
233	500000.0	0.8801484107144012	90659.5273340173	14843.0	2000.0	259.0	6823.0	q99	10	q99-10
234	1000000.0	0.8756880470022298	95089.00491778084	13426.0	2097.0	229.0	6507.0	q99	10	q99-10
235	5000000.0	0.8751731286566061	95770.36464943508	13243.0	2112.0	225.0	6461.0	q99	10	q99-10
236	100000000.0	0.8751731286566061	95770.36464943508	13243.0	2112.0	225.0	6461.0	q99	10	q99-10
237	500000000.0	0.8751731286566061	95770.36464943508	13243.0	2112.0	225.0	6461.0	q99	10	q99-10
238	1.0	0.9396197996794547	4.473966627605662	1.0	1.6130463582378216	1.0	7773311.0	q90	10	q90-10
239	50.0	0.9469561885234437	16.124966960735716	10.0	2.0	2.0	5315645.0	q90	10	q90-10
