#window_size = genomic window size (bp)
#corr = Pearson's correlation (r) between WGBS and Nanopore data
#mean_step = mean distance between first and last CpG in window (bp)
#median_step = mean distance between first and last CpG in window (bp)
#mean_CpGs = mean number of CpGs in windows
#median_CpGs = median number of CpGs in windows
#n = windows count
#cov_nanop = coverage threshold for Nanopore data (q95: 95% interpercentile, min and max threshold applied)
#cov_wgbs = coverage threshold for WBGS data (q95: 95% interpercentile, min and max threshold applied)
#cov_nanop-cov_wgbs = coverage thresholds for Nanopore and WGBS
#
	window_size	corr	mean_step	median_step	mean_CpGs	median_CpGs	n	cov_nanop	cov_wgbs	cov_nanop-cov_wgbs
128	100.0	0.9621742900260172	45.98159748790384	50.0	3.0	3.0	4404290.0	q90	1	q90-1
129	500.0	0.9774874752381736	364.47891316934704	417.0	14.0	12.0	1117451.0	q90	1	q90-1
130	1000.0	0.9834596848889076	806.5190437538982	904.0	27.0	24.0	585205.0	q90	1	q90-1
131	5000.0	0.992265841716649	4508.7269900149495	4878.0	127.0	120.0	125087.0	q90	1	q90-1
132	10000.0	0.9937083722593376	9093.427425996426	9861.0	246.0	238.0	64355.0	q90	1	q90-1
133	50000.0	0.987561967194832	38349.67195399394	49594.0	1004.0	1034.0	15824.0	q90	1	q90-1
134	100000.0	0.9768613218391514	61131.59544359695	83936.0	1594.0	1675.0	9964.0	q90	1	q90-1
135	500000.0	0.9481583233712052	108250.33746898265	24701.5	2816.0	517.0	5642.0	q90	1	q90-1
136	1000000.0	0.9446120803704277	114712.76338028169	21140.0	2984.0	413.0	5325.0	q90	1	q90-1
137	5000000.0	0.9441922575921506	115716.82705057776	20507.0	3010.0	401.0	5279.0	q90	1	q90-1
138	100000000.0	0.9441922575921506	115716.82705057776	20507.0	3010.0	401.0	5279.0	q90	1	q90-1
139	500000000.0	0.9441922575921506	115716.82705057776	20507.0	3010.0	401.0	5279.0	q90	1	q90-1
140	1.0	0.9631711528815224	1.0	1.0	1.0	1.0	14941208.0	q90	5	q90-5
141	50.0	0.967117089148649	16.963106999928137	12.0	2.0	2.0	6707126.0	q90	5	q90-5
142	100.0	0.9714646211149328	45.63060590793457	49.0	3.0	3.0	4184068.0	q90	5	q90-5
143	500.0	0.9836493169996146	353.91633349899683	408.0	13.0	12.0	1086540.0	q90	5	q90-5
144	1000.0	0.9880411920500116	781.9303023461786	890.0	25.0	23.0	575830.0	q90	5	q90-5
145	5000.0	0.9943761925354272	4442.714845349238	4852.0	119.0	113.0	124571.0	q90	5	q90-5
146	10000.0	0.9954746634268388	9016.156753639452	9829.0	232.0	224.0	64158.0	q90	5	q90-5
147	50000.0	0.9920035786702182	38362.90514009785	49470.0	949.0	980.0	15739.0	q90	5	q90-5
148	100000.0	0.9850293907274202	61337.0598644959	84951.0	1510.0	1597.0	9889.0	q90	5	q90-5
149	500000.0	0.965602941267686	109253.8341113106	25558.0	2682.0	497.0	5570.0	q90	5	q90-5
150	1000000.0	0.9632206961802696	115870.37749857224	21780.0	2844.0	387.0	5253.0	q90	5	q90-5
151	5000000.0	0.9629360721130724	116899.07009794508	21069.0	2869.0	375.0	5207.0	q90	5	q90-5
152	100000000.0	0.9629360721130724	116899.07009794508	21069.0	2869.0	375.0	5207.0	q90	5	q90-5
153	500000000.0	0.9629360721130724	116899.07009794508	21069.0	2869.0	375.0	5207.0	q90	5	q90-5
154	1.0	0.9597987149630876	1.0	1.0	1.0	1.0	15999345.0	q99	5	q99-5
155	50.0	0.9640046189861352	17.27289618899446	13.0	2.0	2.0	7099806.0	q99	5	q99-5
