TSS_idx	binary_idx	binary_mRNA_count	variable	window_meth_freq_50	window_freq_quantiles_min	window_freq_quantiles_max	window_CpGoe_50	window_CpGoe_quantiles_min	window_CpGoe_quantiles_max	group	genome
-47	01	NA	20	0.4702599808	0.06736047	0.7147107167	0.651774	0.556947	0.757347	0	Pec
-47	01	NA	50	0.4702599808	0.02887620165	0.838288706725	0.651774	0.43244225	0.94575975	0	Pec
-47	01	NA	80	0.4702599808	0.01601266467	0.90429369875	0.651774	0.2964445	1.189215	0	Pec
-47	0NA	NA	20	0.03075415562	0.02555191429	0.03467263103	0.8364395	0.745426	0.925115	0	Pec
-47	0NA	NA	50	0.03075415562	0.01923840342	0.05655043884	0.8364395	0.560611	1.063135	0	Pec
-47	0NA	NA	80	0.03075415562	0.01143242763	0.64810688885	0.8364395	0.2999975	1.261915	0	Pec
-47	10	NA	20	0.7409490158	0.66141896114	0.8053767	0.5633625	0.4839638	0.6384804	0	Pec
-47	10	NA	50	0.7409490158	0.441511575775	0.863709815825	0.5633625	0.365114	0.7600335	0	Pec
-47	10	NA	80	0.7409490158	0.033495399238	0.90992294684	0.5633625	0.2463886	1.027515	0	Pec
-47	11	NA	20	0.7892767273	0.72711246666	0.82916414252	0.527534	0.4618218	0.6059172	1	Pec
-47	11	NA	50	0.7892767273	0.5537568571	0.8746966364	0.527534	0.360176	0.764431	1	Pec
-47	11	NA	80	0.7892767273	0.042062781666	0.91642703426	0.527534	0.2185462	1.011946	1	Pec
-47	1NA	NA	20	0.75753631345	0.7063095	0.81479	0.5318735	0.477577	0.617045	0	Pec
-47	1NA	NA	50	0.75753631345	0.49358565625	0.857635171875	0.5318735	0.39392775	0.7596765	0	Pec
-47	1NA	NA	80	0.75753631345	0.035259665	0.90596494755	0.5318735	0.187273	0.9875965	0	Pec
-47	NA0	NA	20	0.02848257893	0.02430161196	0.03715691811	0.7697595	0.6614196	0.8776096	0	Pec
-47	NA0	NA	50	0.02848257893	0.014036412165	0.052472965475	0.7697595	0.46867575	1.0036925	0	Pec
-47	NA0	NA	80	0.02848257893	0.007199798907	0.53270426489	0.7697595	0.1830042	1.296289	0	Pec
