mean_binary_idx	mRNA
01	PE_Scaf10160_1.5
11	PE_Scaf10160_4.3
11	PE_Scaf10160_5.4
NA0	PE_Scaf10160_5.5
00	PE_Scaf10162_0.0
11	PE_Scaf10169_0.1
NA1	PE_Scaf10169_0.7
00	PE_Scaf10170_4.5
NA0	PE_Scaf10170_6.7
00	PE_Scaf10171_1.5
00	PE_Scaf10171_1.7
00	PE_Scaf10171_1.8
00	PE_Scaf1018_0.0
00	PE_Scaf1018_0.1
NA0	PE_Scaf1018_0.11
00	PE_Scaf1018_0.3
0NA	PE_Scaf1018_0.5
00	PE_Scaf10180_1.0
00	PE_Scaf10180_1.10
00	PE_Scaf10180_1.11
00	PE_Scaf10180_4.1
00	PE_Scaf10180_5.6
NA0	PE_Scaf10180_5.7
11	PE_Scaf10186_2.2
11	PE_Scaf10188_0.1
11	PE_Scaf10188_0.2
11	PE_Scaf10188_0.3
10	PE_Scaf10188_0.5
NA0	PE_Scaf10189_0.3
00	PE_Scaf10189_0.5
NA1	PE_Scaf10192_0.1
11	PE_Scaf10193_0.3
0NA	PE_Scaf10194_0.0
00	PE_Scaf10195_0.6
01	PE_Scaf10195_0.7
00	PE_Scaf10196_1.0
00	PE_Scaf10196_1.1
00	PE_Scaf10196_10.4
00	PE_Scaf10196_2.0
1NA	PE_Scaf10196_3.0
11	PE_Scaf10196_3.10
11	PE_Scaf10196_3.2
00	PE_Scaf10196_4.3
11	PE_Scaf10196_6.4
00	PE_Scaf10196_7.5
00	PE_Scaf10196_8.3
01	PE_Scaf10196_8.4
NA1	PE_Scaf10198_0.3
00	PE_Scaf10198_0.5
00	PE_Scaf10198_1.5
00	PE_Scaf10198_2.24
00	PE_Scaf10198_2.25
NA1	PE_Scaf10201_0.0
11	PE_Scaf10201_0.2
11	PE_Scaf10201_1.1
01	PE_Scaf10201_1.4
11	PE_Scaf10201_1.6
11	PE_Scaf10201_1.8
11	PE_Scaf10203_0.2
00	PE_Scaf10203_0.6
11	PE_Scaf10203_1.3
10	PE_Scaf10203_1.4
01	PE_Scaf10203_1.5
00	PE_Scaf10203_2.0
00	PE_Scaf10203_2.1
00	PE_Scaf10203_2.7
10	PE_Scaf10205_0.3
