"orth_id"	"L1"	"meth"
"2618"	"P08H"	"methylated_gene-body"
"4364"	"P08H"	"methylated_gene-body"
"651"	"P08H"	"methylated_gene-body"
"3204"	"P08H"	"methylated_gene-body"
"4374"	"P08H"	"methylated_gene-body"
"3151"	"P08H"	"methylated_gene-body"
"913"	"P08H"	"methylated_gene-body"
"3713"	"P08H"	"methylated_gene-body"
"1500"	"P08H"	"methylated_gene-body"
"3676"	"P08H"	"methylated_gene-body"
"4483"	"P08H"	"methylated_gene-body"
"1502"	"P08H"	"methylated_gene-body"
"5005"	"P08H"	"methylated_gene-body"
"220"	"P08H"	"methylated_gene-body"
"4147"	"Pec..R07B"	"methylated_gene-body"
"2238"	"Pec..R07B"	"methylated_gene-body"
"996"	"Pec..R07B"	"methylated_gene-body"
"4835"	"Pec..R07B"	"methylated_gene-body"
"1702"	"Pec..R07B"	"methylated_gene-body"
"3306"	"Pec..R07B"	"methylated_gene-body"
"2812"	"Pec..R07B"	"methylated_gene-body"
"4351"	"Pec..R07B"	"methylated_gene-body"
"3231"	"Pec..R07B"	"methylated_gene-body"
"2396"	"Pec..R07B"	"methylated_gene-body"
"3096"	"Pec..R07B"	"methylated_gene-body"
"5039"	"Pec..R07B"	"methylated_gene-body"
"841"	"Pec..R07B"	"methylated_gene-body"
"4140"	"Pec..R07B"	"methylated_gene-body"
"802"	"Pec..R07B"	"methylated_gene-body"
"4864"	"Pec..R07B"	"methylated_gene-body"
"3938"	"Pec..R07B"	"methylated_gene-body"
"3199"	"Pec..R07B"	"methylated_gene-body"
"3309"	"Pec..R07B"	"methylated_gene-body"
"801"	"Pec..R07B"	"methylated_gene-body"
"4833"	"Pec..R07B"	"methylated_gene-body"
"807"	"Pec..R07B"	"methylated_gene-body"
"606"	"Pec..R07B"	"methylated_gene-body"
"5006"	"Pec..R07B"	"methylated_gene-body"
"421"	"Pec..R07B"	"methylated_gene-body"
"3626"	"Pec..R07B"	"methylated_gene-body"
"3221"	"Pec..R07B"	"methylated_gene-body"
"2222"	"Pec..R07B"	"methylated_gene-body"
"1630"	"Pec..R07B"	"methylated_gene-body"
"198"	"Pec..R07B"	"methylated_gene-body"
"3724"	"Pec..R07B"	"methylated_gene-body"
"3508"	"Pec..R07B"	"methylated_gene-body"
"693"	"Pec..R07B"	"methylated_gene-body"
"1094"	"Pec..R07B"	"methylated_gene-body"
"662"	"Pec..R07B"	"methylated_gene-body"
"2733"	"Pec..R07B"	"methylated_gene-body"
"4997"	"Pec..R07B"	"methylated_gene-body"
"453"	"Pec..R07B"	"methylated_gene-body"
"3646"	"Pec..R07B"	"methylated_gene-body"
"2074"	"Pec..R07B"	"methylated_gene-body"
"4680"	"Pec..R07B"	"methylated_gene-body"
"2656"	"Pec..R07B"	"methylated_gene-body"
"820"	"Pec..R07B"	"methylated_gene-body"
"2480"	"Pec..R07B"	"methylated_gene-body"
"4186"	"Pec..R07B"	"methylated_gene-body"
"2196"	"Pec..R07B"	"methylated_gene-body"
"2066"	"Pec..R07B"	"methylated_gene-body"
"2818"	"Pec..R07B"	"methylated_gene-body"
"4476"	"Pec..R07B"	"methylated_gene-body"
"5023"	"Pec..R07B"	"methylated_gene-body"
"962"	"Pec..R07B"	"methylated_gene-body"
"1110"	"Pec..R07B"	"methylated_gene-body"
"241"	"Pec..R07B"	"methylated_gene-body"
"5056"	"Pec..R07B"	"methylated_gene-body"
"4103"	"Pec..R07B"	"methylated_gene-body"
"4710"	"Pec..R07B"	"methylated_gene-body"
"3996"	"Pec..R07B"	"methylated_gene-body"
"3477"	"Pec..R07B"	"methylated_gene-body"
"5090"	"Pec..R07B"	"methylated_gene-body"
"3094"	"Pec..R07B"	"methylated_gene-body"
"2511"	"Pec..R07B"	"methylated_gene-body"
"2768"	"Pec..R07B"	"methylated_gene-body"
"2719"	"Pec..R07B"	"methylated_gene-body"
"3580"	"Pec..R07B"	"methylated_gene-body"
"3939"	"Pec..R07B"	"methylated_gene-body"
"4307"	"Pec..R07B"	"methylated_gene-body"
"2722"	"Pec..R07B"	"methylated_gene-body"
"3451"	"Pec..R07B"	"methylated_gene-body"
"2158"	"Pec..R07B"	"methylated_gene-body"
"3473"	"Pec..R07B"	"methylated_gene-body"
"2226"	"Pec..R07B"	"methylated_gene-body"
"1810"	"Pec..R07B"	"methylated_gene-body"
"4223"	"Pec..R07B"	"methylated_gene-body"
"4942"	"Pec..R07B"	"methylated_gene-body"
"5121"	"Pec..R07B"	"methylated_gene-body"
"4287"	"Pec..R07B"	"methylated_gene-body"
"4975"	"Pec..R07B"	"methylated_gene-body"
"2841"	"Pec..R07B"	"methylated_gene-body"
"4034"	"Pec..R07B"	"methylated_gene-body"
"5012"	"Pec..R07B"	"methylated_gene-body"
"3877"	"Pec..R07B"	"methylated_gene-body"
"548"	"Pec..R07B"	"methylated_gene-body"
"4191"	"Pec..R07B"	"methylated_gene-body"
"3640"	"Pec..R07B"	"methylated_gene-body"
"3987"	"Pec..R07B"	"methylated_gene-body"
"1302"	"Pec..R07B"	"methylated_gene-body"
"4540"	"Pec..R07B"	"methylated_gene-body"
"1116"	"Pec..R07B"	"methylated_gene-body"
"4094"	"Pec..R07B"	"methylated_gene-body"
"4713"	"Pec..R07B"	"methylated_gene-body"
"3149"	"Pec..R07B"	"methylated_gene-body"
"2552"	"Pec..R07B"	"methylated_gene-body"
"2894"	"Pec..R07B"	"methylated_gene-body"
"1458"	"Pec..R07B"	"methylated_gene-body"
"2121"	"Pec..R07B"	"methylated_gene-body"
"4283"	"Pec..R07B"	"methylated_gene-body"
"3001"	"Pec..R07B"	"methylated_gene-body"
"4851"	"Pec..R07B"	"methylated_gene-body"
"1461"	"Pec..R07B"	"methylated_gene-body"
"4452"	"Pec..R07B"	"methylated_gene-body"
"4655"	"Pec..R07B"	"methylated_gene-body"
"3375"	"Pec..R07B"	"methylated_gene-body"
"4151"	"Pec..R07B"	"methylated_gene-body"
"2925"	"Pec..R07B"	"methylated_gene-body"
"3861"	"Pec..R07B"	"methylated_gene-body"
"4854"	"Pec..R07B"	"methylated_gene-body"
"196"	"Pec..R07B"	"methylated_gene-body"
"2350"	"Pec..R07B"	"methylated_gene-body"
"543"	"Pec..R07B"	"methylated_gene-body"
"429"	"Pec..R07B"	"methylated_gene-body"
"1552"	"Pec..R07B"	"methylated_gene-body"
"4346"	"Pec..R07B"	"methylated_gene-body"
"4198"	"Pec..R07B"	"methylated_gene-body"
"1028"	"Pec..R07B"	"methylated_gene-body"
"1281"	"Pec..R07B"	"methylated_gene-body"
"726"	"Pec..R07B"	"methylated_gene-body"
"1939"	"Pec..R07B"	"methylated_gene-body"
"4933"	"Pec..R07B"	"methylated_gene-body"
"5124"	"Pec..R07B"	"methylated_gene-body"
"2256"	"Pec..R07B"	"methylated_gene-body"
"2901"	"Pec..R07B"	"methylated_gene-body"
"197"	"Pec..R07B"	"methylated_gene-body"
"2110"	"Pec..R07B"	"methylated_gene-body"
"530"	"Pec..R07B"	"methylated_gene-body"
"3726"	"Pec..R07B"	"methylated_gene-body"
"612"	"Pec..R07B"	"methylated_gene-body"
"2863"	"Pec..R07B"	"methylated_gene-body"
"1243"	"Pec..R07B"	"methylated_gene-body"
"4109"	"Pec..R07B"	"methylated_gene-body"
"2544"	"Pec..R07B"	"methylated_gene-body"
"4999"	"Pec..R07B"	"methylated_gene-body"
"1285"	"Pec..R07B"	"methylated_gene-body"
"744"	"Pec..R07B"	"methylated_gene-body"
"992"	"Pec..R07B"	"methylated_gene-body"
"2882"	"Pec..R07B"	"methylated_gene-body"
"3964"	"Pec..R07B"	"methylated_gene-body"
"1119"	"Pec..R07B"	"methylated_gene-body"
"279"	"Pec..R07B"	"methylated_gene-body"
"1210"	"Pec..R07B"	"methylated_gene-body"
"4343"	"Pec..R07B"	"methylated_gene-body"
"3404"	"Pec..R07B"	"methylated_gene-body"
"456"	"Pec..R07B"	"methylated_gene-body"
"4121"	"Pec..R07B"	"methylated_gene-body"
"629"	"Pec..R07B"	"methylated_gene-body"
"4262"	"Pec..R07B"	"methylated_gene-body"
"3232"	"Pec..R07B"	"methylated_gene-body"
"3300"	"Pec..R07B"	"methylated_gene-body"
"3004"	"Pec..R07B"	"methylated_gene-body"
"4658"	"Pec..R07B"	"methylated_gene-body"
"918"	"Pec..R07B"	"methylated_gene-body"
"2582"	"Pec..R07B"	"methylated_gene-body"
"2539"	"Pec..R07B"	"methylated_gene-body"
"3203"	"Pec..R07B"	"methylated_gene-body"
"4992"	"Pec..R07B"	"methylated_gene-body"
"1311"	"Pec..R07B"	"methylated_gene-body"
"2839"	"Pec..R07B"	"methylated_gene-body"
"3553"	"Pec..R07B"	"methylated_gene-body"
"1063"	"Pec..R07B"	"methylated_gene-body"
"1883"	"Pec..R07B"	"methylated_gene-body"
"392"	"Pec..R07B"	"methylated_gene-body"
"2695"	"Pec..R07B"	"methylated_gene-body"
"4546"	"Pec..R07B"	"methylated_gene-body"
"2276"	"Pec..R07B"	"methylated_gene-body"
"4926"	"Pec..R07B"	"methylated_gene-body"
"819"	"Pec..R07B"	"methylated_gene-body"
"792"	"Pec..R07B"	"methylated_gene-body"
"4686"	"Pec..R07B"	"methylated_gene-body"
"3403"	"Pec..R07B"	"methylated_gene-body"
"2373"	"Pec..R07B"	"methylated_gene-body"
"278"	"Pec..R07B"	"methylated_gene-body"
"719"	"Pec..R07B"	"methylated_gene-body"
"5100"	"Pec..R07B"	"methylated_gene-body"
"2507"	"Pec..R07B"	"methylated_gene-body"
"876"	"Pec..R07B"	"methylated_gene-body"
"4778"	"Pec..R07B"	"methylated_gene-body"
"4193"	"Pec..R07B"	"methylated_gene-body"
"808"	"Pec..R07B"	"methylated_gene-body"
"1545"	"Pec..R07B"	"methylated_gene-body"
"4592"	"Pec..R07B"	"methylated_gene-body"
"2382"	"Pec..R07B"	"methylated_gene-body"
"794"	"Pec..R07B"	"methylated_gene-body"
"1295"	"Pec..R07B"	"methylated_gene-body"
"1495"	"Pec..R07B"	"methylated_gene-body"
"2784"	"Pec..R07B"	"methylated_gene-body"
"3557"	"Pec..R07B"	"methylated_gene-body"
"3849"	"Pec..R07B"	"methylated_gene-body"
"1922"	"Pec..R07B"	"methylated_gene-body"
"3989"	"Pec..R07B"	"methylated_gene-body"
"4115"	"Pec..R07B"	"methylated_gene-body"
"268"	"Pec..R07B"	"methylated_gene-body"
"3655"	"Pec..R07B"	"methylated_gene-body"
"849"	"Pec..R07B"	"methylated_gene-body"
"2960"	"Pec..R07B"	"methylated_gene-body"
"1317"	"Pec..R07B"	"methylated_gene-body"
"1961"	"Pec..R07B"	"methylated_gene-body"
"4815"	"Pec..R07B"	"methylated_gene-body"
"4932"	"Pec..R07B"	"methylated_gene-body"
"2495"	"Pec..R07B"	"methylated_gene-body"
"1780"	"Pec..R07B"	"methylated_gene-body"
"1550"	"Pec..R07B"	"methylated_gene-body"
"2942"	"Pec..R07B"	"methylated_gene-body"
"3988"	"Pec..R07B"	"methylated_gene-body"
"5049"	"Pec..R07B"	"methylated_gene-body"
"1448"	"Pec..R07B"	"methylated_gene-body"
"4994"	"Pec..R07B"	"methylated_gene-body"
"4301"	"Pec..R07B"	"methylated_gene-body"
"2609"	"Pec..R07B"	"methylated_gene-body"
"1683"	"Pec..R07B"	"methylated_gene-body"
"2621"	"Pec..R07B"	"methylated_gene-body"
"3354"	"Pec..R07B"	"methylated_gene-body"
"1093"	"Pec..R07B"	"methylated_gene-body"
"2553"	"Pec..R07B"	"methylated_gene-body"
"388"	"Pec..R07B"	"methylated_gene-body"
"4429"	"Pec..R07B"	"methylated_gene-body"
"4583"	"Pec..R07B"	"methylated_gene-body"
"2261"	"Pec..R07B"	"methylated_gene-body"
"2407"	"Pec..R07B"	"methylated_gene-body"
"3301"	"Pec..R07B"	"methylated_gene-body"
"4652"	"Pec..R07B"	"methylated_gene-body"
"2852"	"Pec..R07B"	"methylated_gene-body"
"1694"	"Pec..R07B"	"methylated_gene-body"
"1569"	"Pec..R07B"	"methylated_gene-body"
"2806"	"Pec..R07B"	"methylated_gene-body"
"1161"	"Pec..R07B"	"methylated_gene-body"
"455"	"Pec..R07B"	"methylated_gene-body"
"1923"	"Pec..R07B"	"methylated_gene-body"
"4669"	"Pec..R07B"	"methylated_gene-body"
"4250"	"Pec..R07B"	"methylated_gene-body"
"1175"	"Pec..R07B"	"methylated_gene-body"
"1327"	"Pec..R07B"	"methylated_gene-body"
"4791"	"Pec..R07B"	"methylated_gene-body"
"4202"	"Pec..R07B"	"methylated_gene-body"
"2255"	"Pec..R07B"	"methylated_gene-body"
"1224"	"Pec..R07B"	"methylated_gene-body"
"3410"	"Pec..R07B"	"methylated_gene-body"
"4745"	"Pec..R07B"	"methylated_gene-body"
"4086"	"Pec..R07B"	"methylated_gene-body"
"1108"	"Pec..R07B"	"methylated_gene-body"
"2055"	"Pec..R07B"	"methylated_gene-body"
"1794"	"Pec..R07B"	"methylated_gene-body"
"4208"	"Pec..R07B"	"methylated_gene-body"
"2069"	"Pec..R07B"	"methylated_gene-body"
"3566"	"Pec..R07B"	"methylated_gene-body"
"2131"	"Pec..R07B"	"methylated_gene-body"
"958"	"Pec..R07B"	"methylated_gene-body"
"516"	"Pec..R07B"	"methylated_gene-body"
"4798"	"Pec..R07B"	"methylated_gene-body"
"3240"	"Pec..R07B"	"methylated_gene-body"
"1877"	"Pec..R07B"	"methylated_gene-body"
"3719"	"Pec..R07B"	"methylated_gene-body"
"3120"	"Pec..R07B"	"methylated_gene-body"
"826"	"Pec..R07B"	"methylated_gene-body"
"3197"	"Pec..R07B"	"methylated_gene-body"
"321"	"Pec..R07B"	"methylated_gene-body"
"3767"	"Pec..R07B"	"methylated_gene-body"
"4902"	"Pec..R07B"	"methylated_gene-body"
"4088"	"Pec..R07B"	"methylated_gene-body"
"4125"	"Pec..R07B"	"methylated_gene-body"
"959"	"Pec..R07B"	"methylated_gene-body"
