mean_binary_idx	mRNA
00	augustus_masked-ctg1165_pilon-processed-gene-0.3-mRNA-1
00	augustus_masked-ctg1166_pilon-processed-gene-0.51-mRNA-1
00	augustus_masked-ctg1166_pilon-processed-gene-0.53-mRNA-1
00	augustus_masked-ctg1166_pilon-processed-gene-0.60-mRNA-1
00	augustus_masked-ctg1169_pilon-processed-gene-0.32-mRNA-1
00	augustus_masked-ctg117_pilon-processed-gene-0.8-mRNA-1
01	augustus_masked-ctg117_pilon-processed-gene-2.14-mRNA-1
00	augustus_masked-ctg117_pilon-processed-gene-2.9-mRNA-1
01	augustus_masked-ctg117_pilon-processed-gene-3.81-mRNA-1
11	augustus_masked-ctg117_pilon-processed-gene-3.82-mRNA-1
00	augustus_masked-ctg117_pilon-processed-gene-4.0-mRNA-1
00	augustus_masked-ctg117_pilon-processed-gene-4.5-mRNA-1
00	augustus_masked-ctg1173_pilon-processed-gene-0.2-mRNA-1
00	augustus_masked-ctg1174_pilon-processed-gene-0.7-mRNA-1
01	augustus_masked-ctg1179_pilon-processed-gene-0.6-mRNA-1
11	augustus_masked-ctg118_pilon-processed-gene-2.5-mRNA-1
11	augustus_masked-ctg118_pilon-processed-gene-4.0-mRNA-1
00	augustus_masked-ctg118_pilon-processed-gene-4.4-mRNA-1
00	augustus_masked-ctg118_pilon-processed-gene-7.59-mRNA-1
00	augustus_masked-ctg1189_pilon-processed-gene-0.14-mRNA-1
00	augustus_masked-ctg1189_pilon-processed-gene-0.15-mRNA-1
00	augustus_masked-ctg119_pilon-processed-gene-0.17-mRNA-1
00	augustus_masked-ctg119_pilon-processed-gene-0.9-mRNA-1
00	augustus_masked-ctg119_pilon-processed-gene-3.59-mRNA-1
00	augustus_masked-ctg1192_pilon-processed-gene-0.39-mRNA-1
11	augustus_masked-ctg1193_pilon-processed-gene-0.10-mRNA-1
00	augustus_masked-ctg1196_pilon-processed-gene-0.11-mRNA-1
00	augustus_masked-ctg1196_pilon-processed-gene-0.12-mRNA-1
00	augustus_masked-ctg1198_pilon-processed-gene-0.55-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-10.32-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-14.40-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-14.41-mRNA-1
11	augustus_masked-ctg12_pilon-processed-gene-15.10-mRNA-1
11	augustus_masked-ctg12_pilon-processed-gene-15.4-mRNA-1
11	augustus_masked-ctg12_pilon-processed-gene-16.117-mRNA-1
11	augustus_masked-ctg12_pilon-processed-gene-16.132-mRNA-1
00	augustus_masked-ctg12_pilon-processed-gene-17.5-mRNA-1
