#chromosome = contig_id
#window_idx = genomic window index
#nanop_meth_frequency = mean methylation frequency from Nanopore data
#wgbs_meth_frequency = mean methylation frequency from WGBS data
#
chromosome	window_idx	nanop_meth_frequency	wgbs_meth_frequency
ctg1027_pilon	0.0	0.13032271336168308	0.1330055020971352
ctg1028_pilon	0.0	0.25259024189914164	0.2640827771995708
ctg1029_pilon	0.0	0.22172260892740114	0.2286305545037501
ctg102_pilon	0.0	0.17697821849755418	0.17767242260656882
ctg1030_pilon	0.0	0.38259720039489675	0.3718231232381531
ctg1031_pilon	0.0	0.4714757069898534	0.4764590647125141
ctg1032_pilon	0.0	0.10887721116653877	0.11094164061013048
ctg1033_pilon	0.0	0.03494123660177842	0.031204989795722185
ctg1034_pilon	0.0	0.1276485075307377	0.12032687866290984
ctg1035_pilon	0.0	0.08272394016044121	0.07869414143143645
ctg1036_pilon	0.0	0.2550302234425819	0.2698620628721541
ctg1037_pilon	0.0	0.21967552947282162	0.22204605527724663
ctg1038_pilon	0.0	0.1007832021952776	0.09174713366943203
ctg1039_pilon	0.0	0.4485954428909019	0.44519128656951557
ctg103_pilon	0.0	0.19356954846367921	0.19323779976145852
ctg1040_pilon	0.0	0.16077138097899404	0.15430204120254384
ctg1041_pilon	0.0	0.23309101280998265	0.2380499015890065
ctg1042_pilon	0.0	0.5013608367795864	0.5180468611086669
ctg1043_pilon	0.0	0.21180728934400986	0.21139461512165075
ctg1044_pilon	0.0	0.11238524708582834	0.11024080516966069
ctg1045_pilon	0.0	0.20675723574833174	0.2076583011439466
ctg1046_pilon	0.0	0.25743659142416225	0.24829417486772484
ctg1047_pilon	0.0	0.12631073800904977	0.12011515458442486
ctg1048_pilon	0.0	0.39647169264013693	0.40835119550706034
ctg1049_pilon	0.0	0.22979948377261997	0.2370191628245476
ctg104_pilon	0.0	0.4098683365865816	0.41468533952746484
ctg1050_pilon	0.0	0.047125473854224185	0.05851242407509663
ctg1051_pilon	0.0	0.41014107320283494	0.4245788537968275
ctg1052_pilon	0.0	0.6802014895104895	0.6714141111350189
ctg1053_pilon	0.0	0.47988599584764285	0.5021794342179208
ctg1054_pilon	0.0	0.31667896233197873	0.322559464457643
ctg1055_pilon	0.0	0.4091264940391459	0.41891308561684465
ctg1056_pilon	0.0	0.5766237767805954	0.5899977263065049
ctg1057_pilon	0.0	0.6313533514040304	0.6368388295341922
ctg1058_pilon	0.0	0.40273265597624347	0.42118843043801035
ctg1059_pilon	0.0	0.09399612163187857	0.0889801769555134
ctg105_pilon	0.0	0.12598102636086791	0.12576286431480777
ctg1060_pilon	0.0	0.41366784969005704	0.42664498323828415
ctg1061_pilon	0.0	0.18539561511440542	0.18394136525942636
ctg1062_pilon	0.0	0.4640553015116279	0.4876959447674418
ctg1063_pilon	0.0	0.07844735162591977	0.08016959794683125
ctg1064_pilon	0.0	0.05463578331662322	0.04744143521155003
ctg1065_pilon	0.0	0.22934561011036658	0.22785064617264483
ctg1066_pilon	0.0	0.19486001302915337	0.1939019380491214
ctg1067_pilon	0.0	0.3699289959315376	0.38635768967452305
ctg1068_pilon	0.0	0.15087585055172414	0.1536857984137931
ctg1069_pilon	0.0	0.1489507209224599	0.14827216873885918
ctg106_pilon	0.0	0.30088364655600786	0.309350831435217
ctg1070_pilon	0.0	0.20597549247648905	0.20935043788280686
ctg1071_pilon	0.0	0.5164866048411498	0.5403060403933434
ctg1072_pilon	0.0	0.12419011297580117	0.13007922612164813
ctg1073_pilon	0.0	0.6857390904704463	0.6918636510655408
ctg1074_pilon	0.0	0.02740248333333333	0.02878123028088144
ctg1075_pilon	0.0	0.03315698469993405	0.0263481706748736
ctg1076_pilon	0.0	0.036955097722246796	0.032624802315347194
ctg1077_pilon	0.0	0.09851360731707318	0.09283497680824221
ctg1078_pilon	0.0	0.16171501457579412	0.16781478108162445
ctg1079_pilon	0.0	0.372637693747495	0.3831078414028056
ctg107_pilon	0.0	0.20298288792162042	0.20471467944517835
ctg1080_pilon	0.0	0.16428130366687385	0.15991769906774395
ctg1081_pilon	0.0	0.02655490087543772	0.02646025223445056
ctg1082_pilon	0.0	0.031388619219912754	0.027317737772645626
ctg1083_pilon	0.0	0.038241612387543256	0.032332549296424457
ctg1084_pilon	0.0	0.12462613176861072	0.1254635007586534
ctg1085_pilon	0.0	0.3079454923597406	0.3144676737806597
ctg1086_pilon	0.0	0.43645007292539817	0.43661561285834033
ctg1087_pilon	0.0	0.2623220911901505	0.27378723425444595
ctg1088_pilon	0.0	0.036279371797970035	0.030542179555340745
ctg1089_pilon	0.0	0.25877798516914746	0.2671833929634641
ctg108_pilon	0.0	0.16706511630804896	0.1683221757733826
ctg1090_pilon	0.0	0.030365646785472593	0.026838919512745318
ctg1091_pilon	0.0	0.03519486155690832	0.029921246725696366
ctg1092_pilon	0.0	0.035591296551101485	0.03636173806428314
ctg1093_pilon	0.0	0.1976651629253428	0.21354808895378363
ctg1094_pilon	0.0	0.3194062706419196	0.3233799412397457
ctg1095_pilon	0.0	0.08626933957703928	0.08208301485010458
ctg1096_pilon	0.0	0.6338034349860552	0.6435002622249767
ctg1097_pilon	0.0	0.22460805913184023	0.21194646598937888
ctg1098_pilon	0.0	0.11660290609648347	0.11540883790422336
ctg1099_pilon	0.0	0.2541395301893059	0.26918103167054136
ctg109_pilon	0.0	0.43251205773277523	0.44451181506392123
ctg10_pilon	0.0	0.3764194836881787	0.3842308488975295
ctg1100_pilon	0.0	0.2111933047865459	0.209574623690815
ctg1101_pilon	0.0	0.6747712953301127	0.6948204437037037
ctg1102_pilon	0.0	0.1754268063267233	0.17379151494334277
ctg1103_pilon	0.0	0.20807920027002702	0.21579349729972996
ctg1104_pilon	0.0	0.28523346072467604	0.283042109829851
ctg1105_pilon	0.0	0.17650298977240797	0.1509402665608317
ctg1106_pilon	0.0	0.6168374132404182	0.6283604851567944
ctg1107_pilon	0.0	0.03356456631881033	0.030508880980954865
ctg1108_pilon	0.0	0.21268507764412165	0.2261619896277803
ctg1109_pilon	0.0	0.21627184552929085	0.2144904482322713
ctg110_pilon	0.0	0.19808237556527666	0.19958246930292012
ctg1110_pilon	0.0	0.2081488061132922	0.19746457787436902
